state,city,lat,lng,intro
北海道,旭川市,43.77064,142.365,旭川市（日语：旭川市／あさひかわし Asahikawa shi ）是日本北海道上川綜合振興局境內的一個城市，是北海道僅次於札幌市的第二大城[2]，現為中核市，也是該振興局的行政中心所在地。近年來以旭山動物園和旭川拉麵聞名日本國內外，現與釧路市同被指定為北海道的國際會議觀光城市。
北海道,室蘭市,42.3153,140.9736,室蘭市（日语：室蘭市／むろらんし Muroran shi ）為北海道西南部（屬道南區域）沿海的城市，位於繪鞆半島，其東、西、南三面環太平洋，具有天然良港的環境。鋼鐵工業十分發達，甚至被認為是新日本製鐵和日本製鋼所兩家製鐵公司的企業城下町（企業城），同時還有造船、煉油等工業，是北海道具代表性的重工業都市。
北海道,帶廣市,42.9236,143.1967,帶廣市（日语：帯広市／おびひろし Obihiro shi ）是位於日本北海道東南部的城市，位於十勝平原（日语：十勝平野）中央，是十勝綜合振興局轄內的主要城市，也是十勝地區的農產集散地，並有大量食品加工相關的產業。過去曾經是北海道人口排名第五大城市，不過在自衛隊編制縮減及中央政府機構的縮編影響下，使得人口開始減少，在2004年3月之後，人口數被苫小牧市超越，現為北海道第六大城市，次於札幌市、旭川市、函館市、釧路市、苫小牧市。
北海道,北見市,43.8081,143.8942,北見市（日语：北見市／きたみし Kitami shi ）為位於日本北海道鄂霍次克綜合振興局的城市，面向鄂霍次克海，為鄂霍次克綜合振興局內最大的城市。1992年起，人口超越室蘭市，2006年進行合併後，也超越了江別市，成為北海道內的第八大城，同時是北海道面積最大的市町村級行政區，在全日本則是次於岐阜縣高山市、靜岡縣濱松市和栃木縣日光市，為全日本第四；面積相當於日本面積最小的縣－－香川縣的四分之三。從轄區最西端的石北峰到最東端的鄂霍次克海岸的道路長度大約為110公里，相當於從東京車站到箱根的距離，也是全日本最「長」的市町村行政區；為了有效管理廣大的轄區，北見市在各合併前的行政區中分別設置自治區，並各設置一名副市長兼任該自治區區長。[2][3]
北海道,夕張市,43.0569,141.9739,夕張市（日语：夕張市／ゆうばりし Yūbari shi ）為位于日本北海道中部空知綜合振興局的城市，近年以生產夕張蜜瓜（日语：夕張メロン）而聞名。
北海道,岩見澤市,43.1961,141.7758,岩見澤市（日语：岩見沢市／いわみざわし Iwamizawa shi ）為位於日本北海道空知綜合振興局南部的城市，位於石狩平原的東部，也是空知綜合振興局辦公室的所在地。轄區內的水稻耕作面積及收穫為北海道第一。
北海道,網走市,44.0206,144.2736,網走市（日语：網走市／あばしりし Abashiri shi ）位於日本北海道東部（道東），為鄂霍次克綜合振興局轄下城市，也是鄂霍次克綜合振興局辦公室所在地，在北見市以東約50公里。北邊面向鄂霍次克海，境內多丘陵，市中心位於網走川出海口附近，並延伸到周邊海岸附近的平地。轄區內西北部有能取湖，中部有網走湖、東部有濤沸湖，皆屬於網走國定公園。若按照字母排序的話，網走(Abashiri)是日本排序最前的市町村。
北海道,留萌市,43.9411,141.6369,留萌市（日语：留萌市／るもいし Rumoi shi ）是日本北海道留萌振興局的振興局所在地，位於留萌振興局南部，臨日本海，也是留萌振興局的中心城市，主要的產業包括商業、土木業和水產加工業。虽然辉煌不及往昔，但现在仍是鯡魚的主要捕獲港口，也是鯡魚卵的最大加工地。拥有日本少有的入超港——留萌港。
北海道,苫小牧市,42.63406,141.6055,苫小牧市（日语：苫小牧市／とまこまいし Tomakomai shi ）是北海道西南部的城市，距離札幌市僅九十分鐘的車程。與室蘭市都是北海道具代表性的工業都市、企業城市和港灣都市。自明治時期該市就開始發展造紙業，目前每年的報紙用紙產量約有100頓，佔全日本的30%，其中王子製紙苫小牧工場是全世界報紙產量最大的工廠，因此目前苫小牧有「紙的城市」之稱，造紙工廠的紅白煙囪更被稱為「王子的煙囪」，成為當地的象徵。
北海道,芦别市,43.5183,142.1894,蘆別市（日语：芦別市／あしべつし Ashibetsu shi ）是位于北海道空知綜合振興局東部的一個城市，位於夕張山地的北部，轄區的九成地區為山區和森林。
