city,lat,long,state,content
大阪市,34.69806,135.51889,本州,大阪市位於日本的都市大阪市是位於日本大阪府中部的都市，為大阪府府治、以及大阪府兩個政令指定都市之一，亦是大阪都市圈、京阪神大都市圈、乃至於近畿地方的中心城市。全市面積223平方公里，夜間人口約有269.5萬人，是日本人口第三多的城市；日間人口則超過353萬人，位居日本第二。
東京市,35.69722,139.70833,本州,東京位於日本的都市東京是位於日本關東地方的都市，狹義上指東京都、或東京都區部，亦可泛指東京都及周邊衛星都市群相連而成的「首都圈」。東京都人口數達1394萬，首都圈的人口數則達3800萬，是目前全球規模最大的都會區。
名古屋市,35.18139,136.90639,本州,名古屋市位於日本的都市名古屋市是位於日本愛知縣西部的都市，為愛知縣首府，同時是中部地方與東海地方的中樞都市、以及愛知縣唯一的政令指定都市，人口約230萬，在日本各都市中排名第四，僅次於東京、橫濱及大阪，也是日本三大都市圈之一中京圈的核心城市。由於位於東京與京都之間，因此又被稱為「中京」。全市劃分為16個區。
橫濱市,35.44417,139.63806,本州,橫濱市位於日本的都市橫濱市是位於日本神奈川縣東部的市，地處東京都心西南約30公里至40公里處，東臨東京灣。為神奈川縣縣治及最大都市，也是政令指定都市之一，轄有18個區。全市人口達374萬，是日本人口最多的市，聚集神奈川縣內超過40%的人口；若以人口集中地區評比則次於東京23區。
神戶市,34.69,135.19556,本州,"神戶市位於日本的都市神戶市是位於日本兵庫縣東南部的都市，為兵庫縣首府，也是政令指定都市之一，下轄有9個區。全市面積557.02平方公里，人口則有1,522,273人，是日本人口第七多的都市。其與大阪市、京都市並為京阪神都會區的核心都市，同時也和附近的衛星都市組成神戶都市圈。"
京都市,35.01167,135.76833,本州,"京都市位於日本的城市京都市是位於日本京都府南部的城市，為京都府府治，也是政令指定都市之一。京都市的面積為827.83平方公里，下轄11個區。2020年，京都市有人口1,465,701人，是日本人口第八多的都市。京都市還和京都府南部、滋賀縣西部及大阪府的部份地區共同組成了「京都都市圈」，其人口數約有379萬。"
川崎市,35.51667,139.7,本州,川崎市位於日本的都市川崎市是位於日本神奈川縣東北端的都市，位處東京、橫濱兩大都市之間，為政令指定都市。其為面積最小的政令指定都市，總人口數則為153萬，2019年5月超過神戶市成為日本人口第6多的城市，同時是日本除都道府縣廳所在地以外人口最多的都市。
埼玉市,35.86194,139.64583,本州,埼玉市位於日本的都市埼玉市是日本埼玉縣縣治，同時為政令指定都市、以及首都圈業務核都市，為關東地方的主要都市之一。成立於2001年5月1日，2003年4月1日升格為政令指定都市，2005年4月1日將東鄰的岩槻市併入。全市分為10個行政區，人口約128萬，是日本人口第9大都市。其市名使用平假名而沒有使用漢字，是日本主要都市中的特例。
廣島市,34.38528,132.45528,本州,廣島市位於日本的都市廣島市位於日本廣島縣西部的都市，為廣島縣首府，也是本州西部的最大都市，人口約119萬。原本只是太田川入海口的一個三角洲，自16世紀時毛利氏在此建城並作為政權根據地後，迅速發展成為中國與瀨戶內地方的中心都市，現今為中國地方僅有的兩個政令指定都市之一。因其重要的政治經濟軍事地位，二戰期間遭受了核彈轟炸的軍事攻擊。
仙台市,38.26667,140.86667,本州,仙台市位於日本的都市仙台市是日本宮城縣縣治，位於宮城縣中部，為政令指定都市，同時也是東北地方最大的城市。該市得名於古稱千代城的古城「仙台城」，於1600年由安土桃山時代名將伊達政宗擴建並改名為同音的仙台。由於全市綠化比例高，而有「杜之都」之譽。
千葉市,35.6,140.1,本州,"千葉市位於日本的都市千葉市是日本千葉縣的縣廳所在地，也是政令指定都市、業務核都市。本市位於東京東南邊靠東京灣，並且有三條交通線路接往東京。千葉市是關東地方的主要海港之一。本市大部分為住戶，然而在沿海一帶有很多工廠和倉庫。
本市建於1921年1月1日，並於1992年4月1日成為政令指定都市。"
堺市,34.57333,135.48306,本州,堺市位於日本的都市堺市是位於日本大阪府中部的市，為政令指定都市，乃大阪府轄下人口及面積都名列第二的行政區劃，次於大阪市。地理上位處近畿平原南部，大和川下游左岸區域，西面大阪灣，北臨大阪市。其都市發展崛起於戰國時代，1889年建市，2006年4月1日升格為大阪府繼大阪市之後第2個政令指定都市。
世田谷區,35.64667,139.65333,本州,世田谷區東京都特別區世田谷區 (Setagaya City) 範圍自多摩川 (Tama River) 一路延伸，直至下北澤 (Shimokitazawa) 都市村的時尚咖啡廳及商店。該地區的大學校園附近有眾多書店及學生酒吧。靜嘉堂文庫美術館 (Seikadō Bunko Art Museum) 展出來自東亞各地的手稿、水墨畫及陶器藝術品，而豪德寺 (Gōtokuji Temple) 則以一系列的招財貓收藏聞名。駒澤奧林匹克公園 (Komazawa Olympic Park) 的小徑深受單車騎士及慢跑者喜愛。
新潟市,37.91611,139.03639,本州,新潟市位於日本的都市新潟市是位於日本新潟縣東北部的市，為新潟縣首府，地處日本最長河流信濃川的入海口，是本州日本海側地區與北陸信越地方的第一大城、以及唯一的政令指定都市。身為港口都市，新潟的開發歷史悠久，至江戶時代已是日本海沿岸重要港口之一，為幕末美日修好通商條約開港五港之一，現在也是水陸交通的要衝。
濱松市,34.71083,137.72611,本州,"濱松市位於日本的都市濱松市是位於日本靜岡縣西部遠州地區的市，也是靜岡縣第2個政令指定都市，人口約79萬，為靜岡縣內人口最多的市町村，轄區面積為1,558.04平方公里，是日本面積第二大的市，僅次於岐阜縣高山市。其為日本重要的工業都市，鈴木、本田、山葉等日本大型企業都是創業於此。濱松最早是江戶時代的城下町，也是當時東海道的宿場町之一。"
靜岡市,35.02222,138.32722,本州,"靜岡市位於日本的城市靜岡市是一座位於日本中部東海地方靜岡縣中部的城市，也是靜岡縣縣廳所在地，並在2005年4月1日成為政令指定都市。靜岡市有人口約70萬人，是靜岡縣內面積和人口第二大都市。靜岡市的轄區面積超過1,411平方公里，是日本面積第五大都市，亦是都道府縣廳所在地中面積最大的城市。靜岡市下設葵區、駿河區、清水區三個區。"
相模原市,35.56667,139.36667,本州,相模原市位於日本的城市相模原市是位於日本神奈川縣北部的城市，為神奈川縣內僅次於橫濱市和川崎市的人口第三大城市。2007年3月11日合併2町後人口超過70萬。2010年4月1日成為政令指定都市，是日本第19個、以及神奈川縣第3個政令指定都市。下轄綠區、中央區、南區等3區。透過鐵路約40分鐘可到達東京、橫濱市中心。
岡山市,34.65,133.91667,本州,查看以下內容的搜尋結果：岡山市 (位於日本的城市)市長： 大森雅夫大學： 岡山大學、岡山理科大學和Okayama Shoka University
大田區,35.56139,139.71611,本州,大田區東京都特別區大田區是日本東京都的特別區之一，位於東京都東南、正對東京灣。自古以來是捕魚業發達的地區、大正時代以後形成小作坊的聚集地、至今形成了京濱工業地帶。區內的東京國際機場是東京的空中門戶。日本著名的高級住宅區田園調布的部分地區位於該區西部。
江戶川區,35.7,139.88333,本州,江戶川區東京都特別區江戶川區位於日本東京23區最東面，是東京都的特別區之一。總面積約為49.86平方公里，其面積是東京23區中的第4位。區名源於位於區的東側南北而流的江戶川而來。
船橋市,35.7,139.98333,本州,船橋市位於日本的城市船橋市是日本千葉縣西北部的城市，為日本人口最多的中核市，在縣內人口僅次於千葉市。
川口市,35.8,139.71667,本州,提示： 只顯示繁體中文搜尋結果。你可以在使用偏好中指定搜尋語言
八王子市,35.66639,139.31583,本州,查看以下內容的搜尋結果：八王子市 (位於日本的都市)大學： 首都大學東京、私立創價大學、東京工科大學和中央大學佔地面積： 186.4 平方公里
姬路市,34.81667,134.68333,本州,姬路市位於日本的都市姬路市是位於日本近畿地方西部、兵庫縣西南部的都市，也是播磨地方的經濟、文化及教育中心。人口超過53萬，是兵庫縣內次於神戶市的第二大城市，同時也是日本首批中核市。姬路市和周圍的城市共同組成了人口超過70萬人的姬路都市圏。姬路市有著悠久的歷史，擁有已被列為世界文化遺產的姬路城和圓教寺等眾多文化財產。
宇都宫市,36.55,139.88333,本州,宇都宮市位於日本的都市宇都宮市是位於日本栃木縣中部的都市，為栃木縣首府、以及中核市之一，同時是北關東最大都市，人口約51萬人。宇都宮於1896年4月1日建市。2007年3月31日，該市合併了上河內町及河內町。以該市為中心的宇都宮都市圈的人口約89萬人。戰後，對該市東部進行了大規模的工業開發。在江戶時代，該市是重要的交通樞紐。
東大阪市,34.67944,135.60083,本州,東大阪市位於日本的城市東大阪市是位於日本大阪府東部的城市，其人口規模位居大阪府第三，僅次於府內兩個政令指定都市大阪市和堺市，目前是中核市。現有提案與周邊的八尾市和柏原市進行市町村合併並升格為大阪府的第三個政令指定都市的構想，但此提案目前並未有任何的進展。
西宮市,34.7375,135.34167,本州,西宮市位於日本的城市西宮市是位於日本兵庫縣東南部的城市，地處俗稱的阪神地區。根據2016年12月的統計，人口約49萬，為兵庫縣第三大的城市，現為中核市之一。
松戶市,35.78333,139.9,本州,松戶市松戶市位於千葉縣西北、古時作為水戶街道的驛站、現在作為東京的住宅區而聞名。松戶市是千葉縣內人口總數居於第4位的市。
倉敷市,34.58333,133.76667,本州,倉敷市位於日本的城市倉敷市屬日本岡山縣，位於高梁川與瀨戶內海的交界。成立於1928年4月1日。轄區內的工業製品製造品年出貨量達4兆日圓以上，在西日本地區為次於大阪市的主要工業城市。
市川市,35.71667,139.93333,本州,市川市市川市是日本千葉縣西北部，人口約47萬人的一個市。在千葉縣的人口相繼千葉市、船橋市、松戶市排名第4位。
福山市,34.48333,133.36667,本州,福山市位於日本的都市福山市是日本廣島縣的中核市，位於廣島縣東南部，是福山都市圈的中心城市。人口規模居於廣島縣內第二位，中國地方第四位。市內南部的觀光景點「鞆の浦」非常有名，特產品有鋼鐵、福山琴、慈姑和木屐。
金澤市,36.56667,136.65,本州,您是不是要查： 金沢市 本州
尼崎市,34.73333,135.4,本州,尼崎市位於日本的城市尼崎市是位於日本兵庫縣東南部的城市，與大阪市相鄰，人口居於兵庫縣內第四位，但人口密度為縣內最高，現為中核市和保健所政令市。南面向大阪灣，西鄰西宮市，北接伊丹市，東北與豐中市相鄰，東鄰大阪市。轄區內南部以工業區為主，重工業密集，污染嚴重，現在則有明顯改善。
豐田市,35.08333,137.15,本州,豐田市位於日本的城市豐田市，是日本的愛知縣的城市之一。
富山市,36.7,137.21667,本州,"富山市位於日本的都市富山市是位於日本富山縣中部的都市，為富山縣首府，同時也是富山縣最大的市町村。它位於沖積平原上，是日本海沿岸的工業城市，面積有1241.85平方公里，人口418,710人。第二次世界大戰中市區曾受轟炸，戰後重建為新城市。市內有城蹟公園等名勝。"
藤澤市,35.35,139.46667,本州,您是不是要查： 藤沢市 本州
橫須賀市,35.25,139.66667,本州,橫須賀市位於日本的城市橫須賀市是一個位於日本神奈川縣南東部三浦半島的城市。由於橫須賀市處於東京灣入口，使得橫須賀市成為一個繁榮的軍港都市。日本的海上自衛隊、和美國海軍第七艦隊的司令部等都設立於此。人口數在神奈川縣內位於橫濱市、川崎市、相模原市之後，排名第4位，是中核市。
岐阜市,35.41667,136.76667,本州,岐阜市日本城鎮岐阜市，是日本中部岐阜縣南部的都會地區，岐阜縣縣政府所在地。行政區域為原稻葉郡、山縣郡、本巢郡、羽島郡的各一部分。為日本指定中核市之一。
枚方市,34.81667,135.65,本州,枚方市位於日本的都市枚方市是位於日本大阪府東北部的都市，與京都府、奈良縣接鄰，大致位於大阪市和京都市的中間，以七夕傳說和用菊花做的偶人展聞名。為大阪府轄內第4大城市，人口約40萬，次於大阪市、堺市與東大阪市。轄區東部為生駒山地的山區，最東側為高度約100公尺的山丘，往西高度逐漸降低為丘陵地，最西側為近畿平原一的部分，並以淀川為西界。
豐中市,34.78333,135.46667,本州,豐中市位於日本的城市豐中市是位在大阪府的北部，北攝地區裡的一個城市，距離大阪市中心約只有十五公里，是大阪都市圈近郊的一個衛星城市，西北部還有大阪國際機場，由於交通便利，在大阪府中為人口第五多的行政區劃，次於大阪市、堺市、東大阪市、枚方市。2001年升格成為特例市，2012年進一步升格成為中核市。
長野市,36.63333,138.18333,本州,長野市位於日本的城市長野市，是一個位在日本本州長野縣北部的城市；該城市地處千曲川與犀川匯流處，為長野縣縣廳所在地，也是該縣人口最多的市。1998年，當地舉辦1998年度冬奧會與1998年殘疾人冬奧會。此外，建於7世紀的佛教寺院善光寺也位在當地。
一宮市,35.35,136.76667,本州,一宮市位於日本的城市一宮市是愛知縣西部的城市。目前是施行時特例市。現任市長為中野正康。
豐橋市,34.76667,137.38333,本州,豐橋市位於日本的都市豐橋市是日本愛知縣東南部的市，為東三河地方的中心都市，東三河地方約半數的人口集中於此。目前亦是中核市、以及愛知縣人口第5大市町村。自中世時期到江戶時代，市中心地區就一直被叫做吉田。後來因此地名容易混淆而更名。在明治時期，由於當時的三河國吉田藩的名稱易於混淆而被下令改名，藩主選出了「豐橋，關屋，今橋」三個地名。
高崎市,36.31667,139,本州,高崎市位於日本的城市高崎市是日本群馬縣西南部的城市。
岡崎市,34.95,137.16667,本州,岡崎市位於日本的城市岡崎市是日本愛知縣的中核市。昔日是三河國中央位置的城市。以生產「八丁味噌」而全日本聞名。該市以細川氏的發祥地及德川家康的出生地而聞名。擁有眾多的史蹟和教育場所，可謂一座文教城市。2006年1月1日，額田郡額田町被納入該市。岡崎市也是NHK晨間小說連續劇《純情閃耀》的故事舞臺。市區東部的山中棲息有野生的猴子。
和歌山市,34.23333,135.16667,本州,和歌山市位於日本的城市和歌山市是位於日本和歌山縣北部的城市，為中核市，也是和歌山縣的縣廳所在地；現在的和歌山市土地面積僅占全和歌山縣約4%，但人口卻接近全縣的40%。轄區位於紀之川河口，西側以紀淡海峽與淡路島相隔。
奈良市,34.68333,135.8,本州,奈良市位於日本的城市奈良市是位於日本奈良縣北部的城市，是奈良縣最大的城市，也是奈良縣縣政府所在地，現為中核市。主要市區位於轄區的西部，此區域也位於奈良盆地之內，東部屬於大和高原；轄區西側由於距離大阪市市區僅約20公里，加上鐵路交通便利，因此也被歸類為大阪市的衛星城市。
前橋市,36.38333,139.06667,本州,前橋市位於日本的城市前橋市是日本群馬縣中南部，關東地方西北部的城市。也是群馬縣廳的所在地，市域的大部份過去屬勢多郡，另有一部分來自群馬郡與佐波郡。該市在2001年4月1日成為特例市，2009年成為中核市。
品川區,35.61111,139.72611,本州,品川區東京都特別區品川 (Shinagawa) 是一個以天王洲島聞名的繁華海灣區，這裡是摩天大樓與木棧道、商店、時尚啤酒屋和俯瞰水面餐廳交錯的複合地區。傳統的景點包括優雅的泉岳寺 (Sengaku-ji Temple)，這裡有 47 個 18 世紀的武士墳墓。色彩繽紛的橋樑橫跨櫻花林立的目黑河 (Meguro River)，而品川公園 (Shinagawa Park) 裡有野餐地點和水族館。
川越市,35.93333,139.48333,本州,川越市位於日本的都市川越市是位於日本埼玉縣西南部的市，過去隸屬於入間郡。目前是中核市與業務核都市。
大津市,35.01667,135.85,本州,大津市位於日本的城市大津市是日本滋賀縣轄下的城市，位於琵琶湖西南岸，也是滋賀縣的縣廳所在地。
磐城市,37.03333,140.88333,本州,磐城市位於日本的城市磐城市，是位於日本福島縣南部的一個城市。是日本的中核市之一。是福島縣內面積最大的城市。2019年10月時人口超過34萬人，較縣廳所在地福島市人口為多，在東北地方的人口數僅次於宮城縣仙台市而排名第二。市內的磐城都市圈，人口繼郡山都市圈、福島都市圈縣內第三大。
郡山市,37.4,140.38333,本州,郡山市郡山市是位於日本福島縣中部的中核市，古稱安積郡。
越谷市,35.88333,139.78333,本州,越谷市位於日本的都市越谷市是位於日本埼玉縣東南部的市，為中核市、業務核都市和保健所政令市。人口約34萬，是埼玉縣第4大都市，僅次於埼玉市、川口市與川越市。
秋田市,39.72,140.1025,本州,秋田市位於日本的城市秋田市是日本東北地方西北部，秋田縣中部的城市。秋田市在1889年設市，並在1997年和郡山市同時成為東北首批中核市。秋田市是秋田縣的縣廳所在地，並且也是秋田縣的經濟、交通中心及人口最多的城市。1997年秋田新幹線的開業使得秋田市的陸路交通更加便利，乘坐小町號列車最快只需約三個半小時就可從東京到達秋田市。
新宿區,35.69389,139.70361,本州,新宿區東京都特別區新宿市 (Shinjuku City) 涵蓋霓虹閃爍的東新宿區和摩天大樓區 (Skyscraper District)；前者有熙攘俱樂部和卡拉 OK 坊，後者則有附設酒吧和餐廳的高級飯店。這裡也有許多藝廊、劇院和書店，吸引莘莘學子來訪。東京都廳坐擁高人氣的觀景台，可眺望箱根山 (Mount Hakone) 矗立在寧靜的城市綠地之上；新國立競技場 (New National Stadium) 則是為 2020 年的奧林匹克運動會所打造，擁有許多高技的設備。
四日市市,34.96667,136.61667,本州,四日市市位於日本的城市四日市市是位於日本三重縣北部的城市，也是三重縣內人口最多的城市，東臨伊勢灣，位於日本四大工業核心地帶之一的中京工業核心地帶。
春日井市,35.24778,136.97222,本州,春日井市位於日本的城市春日井市是名古屋市以北的一個城市。目前是施行時特例市。庄內川流過該市南部。JR中央線及國道19號橫貫該市。不少工作在名古屋市的人居住於該市。平安時代活躍的書法家小野道風出身於此。全日本有八成的仙人掌在此生產。現任市長為伊藤太。
盛岡市,39.68333,141.15,本州,盛岡市位於日本的城市盛岡市是位於日本岩手縣內陸地區的一個城市，地理位置接近岩手縣的中央，同時是岩手縣的縣廳所在地。盛岡古稱「不來方」、「古志方」，其歷史起源於平安時代桓武天皇下令在此興建志波城。安土桃山時代，盛岡最初被稱為「森岡」，是南部氏的城下町。
津市,34.71667,136.5,本州,津市位於日本的城市津市是位於日本三重縣中部的城市，也是三重縣的縣廳所在地。轄區面積為三重縣內最大的行政區劃，西南部為山區，東部為平原，位於伊勢平原的中間區域，主要市區位於沿海區域，安濃川、岩田川亦流過主要市區，安濃川以北為橋北地區、岩田川以南為橋南地區，兩者之間則為橋內地區。
青森市,40.82472,140.74056,本州,青森市日本城鎮青森市，是日本本州島北部青森縣的縣廳所在地，現為中核市之一，臨津輕海峽，是本州島最北端縣廳所在地。
